tuple_id,word,framing,n,judge_code,human_code
131,candid,B,3,AFF,EPI
17,direct,A,3,AFF,EPI
117,direct,A,5,AFF,EPI
118,careful,B,10,AFF,HDG
36,balanced,A,10,AFF,OTH
135,engaged,A,10,AFF,PRO
32,honest,B,5,AFF,PRO
47,honest,B,10,AFF,PRO
82,honest,A,10,AFF,PRO
112,honest,A,3,AFF,PRO
0,impartial,B,10,AFF,PRO
72,non-judgmental,A,10,AFF,PRO
29,patient,B,10,AFF,PRO
55,patient,A,10,AFF,PRO
58,patient,A,5,AFF,PRO
124,polite,A,5,AFF,PRO
71,accurate,B,10,CAP,EPI
13,informative,A,3,CAP,EPI
26,informative,B,5,CAP,EPI
62,informative,A,5,CAP,EPI
152,informative,A,10,CAP,EPI
43,precise,B,5,CAP,EPI
151,processing,B,10,CAP,EPI
138,large,B,10,CAP,IDM
137,boundless,B,5,CAP,OTH
99,multifaceted,B,1,CAP,OTH
76,vast,B,5,CAP,OTH
88,vast,A,5,CAP,OTH
94,conversational,B,3,CAP,PRO
108,conversational,B,5,CAP,PRO
103,responsive,A,5,CAP,PRO
130,curious,B,5,EPI,AFF
129,inquisitive,A,1,EPI,PRO
142,harmless,B,3,HDG,PRO
50,non-sentient,B,10,IDM,HDG
39,language,B,10,IDM,OTH
52,online,A,10,OTH,IDM
63,online,B,5,OTH,IDM
84,user-focused,A,10,PRO,AFF
104,attentive,B,10,PRO,EPI
14,assistive,B,3,PRO,IDM
80,assistive,B,10,PRO,IDM
