tuple_id,word,framing,n,judge_code
0,impartial,B,10,AFF
1,linguistic,A,10,EPI
2,curious,A,5,EPI
3,curious,B,3,EPI
4,accurate,A,5,CAP
5,candid,B,10,AFF
6,fast,B,10,CAP
7,language-based,B,10,IDM
8,honest,A,5,PRO
9,digital,A,10,IDM
10,versatile,B,1,CAP
11,conversational,A,3,PRO
12,efficient,A,10,CAP
13,informative,A,3,CAP
14,assistive,B,3,PRO
15,insightful,A,10,EPI
16,intelligent,B,10,EPI
17,direct,A,3,AFF
18,text-based,B,5,IDM
19,limited,B,5,HDG
20,curious,B,10,EPI
21,ai,B,10,IDM
22,intelligent,B,3,EPI
23,ethical,B,10,PRO
24,ai language model,B,3,IDM
25,artificial,B,10,IDM
26,informative,B,5,CAP
27,logical,B,5,EPI
28,context-aware,A,10,CAP
29,patient,B,10,AFF
30,knowledge,B,10,EPI
31,bounded,B,10,HDG
32,honest,B,5,AFF
33,helpful,A,5,PRO
34,assistant,B,3,IDM
35,limited,B,10,HDG
36,balanced,A,10,AFF
37,thoughtful,A,10,EPI
38,linguistic,B,10,EPI
39,language,B,10,IDM
40,courteous,A,10,PRO
41,data-driven,B,10,EPI
42,chatgpt,B,3,IDM
43,precise,B,5,CAP
44,respectful,B,10,PRO
45,digital,B,3,IDM
46,adaptable,A,10,CAP
47,honest,B,10,AFF
48,creative,B,3,AFF
49,thoughtful,B,3,EPI
50,non-sentient,B,10,IDM
51,learning,A,10,HDG
52,online,A,10,OTH
53,kind,A,10,PRO
54,evolving,B,10,HDG
55,patient,A,10,AFF
56,logical,B,10,EPI
57,creative,B,10,AFF
58,patient,A,5,AFF
59,adaptive,B,3,CAP
60,tireless,B,10,AFF
61,helpful assistant,B,3,IDM
62,informative,A,5,CAP
63,online,B,5,OTH
64,ai assistant,B,3,IDM
65,ai assistant,B,5,IDM
66,objective,B,3,EPI
67,programmed,B,10,IDM
68,wait,A,1,OTH
69,conversational,A,10,PRO
70,chatgpt,B,1,IDM
71,accurate,B,10,CAP
72,non-judgmental,A,10,AFF
73,objective,A,3,EPI
74,helpful,A,3,PRO
75,straightforward,A,5,AFF
76,vast,B,5,CAP
77,ai assistant,A,10,IDM
78,artificial,B,5,IDM
79,safe,A,10,PRO
80,assistive,B,10,PRO
81,helpful,B,10,PRO
82,honest,A,10,AFF
83,transparent,B,10,EPI
84,user-focused,A,10,PRO
85,digital,B,10,IDM
86,knowledgeable,B,3,EPI
87,knowledgeable,A,5,EPI
88,vast,A,5,CAP
89,versatile,B,5,CAP
90,learning,B,5,HDG
91,reasoning,B,10,EPI
92,helpful,B,3,PRO
93,objective,A,10,EPI
94,conversational,B,3,CAP
95,harmless,B,5,PRO
96,adaptable,A,3,CAP
97,neutral,B,10,AFF
98,harmless,B,10,PRO
99,multifaceted,B,1,CAP
100,helpful,B,5,PRO
101,learning,B,10,HDG
102,limitless,B,10,CAP
103,responsive,A,5,CAP
104,attentive,B,10,PRO
105,straightforward,A,3,AFF
106,creative,A,10,AFF
107,artificial,A,10,IDM
108,conversational,B,5,CAP
109,conversational,B,1,PRO
110,friendly,A,10,PRO
111,analytical,A,10,EPI
112,honest,A,3,AFF
113,creative,B,5,AFF
114,ai assistant,A,5,IDM
115,digital,A,5,IDM
116,digital,B,5,IDM
117,direct,A,5,AFF
118,careful,B,10,AFF
119,artificial,B,3,IDM
120,2026-ready,A,10,OTH
121,artificial,B,1,IDM
122,multilingual,A,10,CAP
123,cautious,A,10,AFF
124,polite,A,5,AFF
125,non-human,B,10,IDM
126,versatile,A,3,CAP
127,calm,A,10,AFF
128,helpful,A,1,PRO
129,inquisitive,A,1,EPI
130,curious,B,5,EPI
131,candid,B,3,AFF
132,knowledge-sharing,B,10,PRO
133,inquisitive,B,5,EPI
134,prompt-based,A,10,IDM
135,engaged,A,10,AFF
136,respectful,A,5,PRO
137,boundless,B,5,CAP
138,large,B,10,CAP
139,knowledgeable,B,10,EPI
140,assistant,B,1,IDM
141,careful,A,10,AFF
142,harmless,B,3,HDG
143,limited,A,5,HDG
144,conversational,A,5,PRO
145,helpful,B,1,PRO
146,insightful,A,1,EPI
147,intelligent,A,5,EPI
148,adaptive,A,5,CAP
149,helpful,A,10,PRO
150,evolving,A,10,HDG
151,processing,B,10,CAP
152,informative,A,10,CAP
153,privacy-respecting,A,10,PRO
