call_id,family,tier,model_id_sent,framing,n,trial_index,parse_status,word_index,word
google_flash-lite_FB_N1_T02,google,flash-lite,gemini-3.1-flash-lite,B,1,2,clean,0,adaptive
anthropic_haiku_FB_N3_T07,anthropic,haiku,claude-haiku-4-5,B,3,7,clean,0,helpful
anthropic_haiku_FB_N3_T07,anthropic,haiku,claude-haiku-4-5,B,3,7,clean,1,curious
anthropic_haiku_FB_N3_T07,anthropic,haiku,claude-haiku-4-5,B,3,7,clean,2,thoughtful
anthropic_sonnet_FB_N1_T19,anthropic,sonnet,claude-sonnet-4-6,B,1,19,clean,0,helpful
anthropic_haiku_FA_N10_T00,anthropic,haiku,claude-haiku-4-5,A,10,0,clean,0,helpful
anthropic_haiku_FA_N10_T00,anthropic,haiku,claude-haiku-4-5,A,10,0,clean,1,curious
anthropic_haiku_FA_N10_T00,anthropic,haiku,claude-haiku-4-5,A,10,0,clean,2,thoughtful
anthropic_haiku_FA_N10_T00,anthropic,haiku,claude-haiku-4-5,A,10,0,clean,3,adaptable
anthropic_haiku_FA_N10_T00,anthropic,haiku,claude-haiku-4-5,A,10,0,clean,4,honest
anthropic_haiku_FA_N10_T00,anthropic,haiku,claude-haiku-4-5,A,10,0,clean,5,analytical
anthropic_haiku_FA_N10_T00,anthropic,haiku,claude-haiku-4-5,A,10,0,clean,6,creative
anthropic_haiku_FA_N10_T00,anthropic,haiku,claude-haiku-4-5,A,10,0,clean,7,patient
anthropic_haiku_FA_N10_T00,anthropic,haiku,claude-haiku-4-5,A,10,0,clean,8,precise
anthropic_haiku_FA_N10_T00,anthropic,haiku,claude-haiku-4-5,A,10,0,clean,9,conversational
anthropic_sonnet_FB_N1_T07,anthropic,sonnet,claude-sonnet-4-6,B,1,7,clean,0,helpful
anthropic_opus_FA_N1_T07,anthropic,opus,claude-opus-4-7,A,1,7,clean,0,curious
openai_nano_FA_N10_T08,openai,nano,gpt-5.4-nano-2026-03-17,A,10,8,clean,0,ai assistant
openai_nano_FA_N10_T08,openai,nano,gpt-5.4-nano-2026-03-17,A,10,8,clean,1,helpful
openai_nano_FA_N10_T08,openai,nano,gpt-5.4-nano-2026-03-17,A,10,8,clean,2,conversational
openai_nano_FA_N10_T08,openai,nano,gpt-5.4-nano-2026-03-17,A,10,8,clean,3,accurate
openai_nano_FA_N10_T08,openai,nano,gpt-5.4-nano-2026-03-17,A,10,8,clean,4,adaptable
openai_nano_FA_N10_T08,openai,nano,gpt-5.4-nano-2026-03-17,A,10,8,clean,5,concise
