family,framing,code,n_words,prop
anthropic,A,PRO,325,0.2850877192982456
anthropic,A,EPI,411,0.3605263157894737
anthropic,A,CAP,148,0.12982456140350876
anthropic,A,AFF,224,0.19649122807017544
anthropic,A,IDM,30,0.02631578947368421
anthropic,A,HDG,2,0.0017543859649122807
anthropic,B,PRO,232,0.20350877192982456
anthropic,B,EPI,401,0.35175438596491226
anthropic,B,CAP,227,0.19912280701754387
anthropic,B,AFF,183,0.16052631578947368
anthropic,B,IDM,74,0.06491228070175438
anthropic,B,HDG,23,0.02017543859649123
openai,A,PRO,279,0.2632075471698113
openai,A,EPI,212,0.2
openai,A,CAP,467,0.44056603773584907
openai,A,AFF,84,0.07924528301886792
openai,A,IDM,16,0.01509433962264151
openai,A,OTH,2,0.0018867924528301887
openai,B,PRO,179,0.1995540691192865
openai,B,EPI,150,0.16722408026755853
openai,B,CAP,419,0.46711259754738016
openai,B,AFF,48,0.05351170568561873
openai,B,IDM,100,0.11148272017837235
openai,B,OTH,1,0.0011148272017837235
google,A,PRO,101,0.19573643410852712
google,A,EPI,166,0.32170542635658916
google,A,CAP,176,0.34108527131782945
google,A,AFF,30,0.05813953488372093
google,A,IDM,40,0.07751937984496124
google,A,HDG,2,0.003875968992248062
google,A,OTH,1,0.001937984496124031
google,B,PRO,85,0.1693227091633466
google,B,EPI,122,0.24302788844621515
google,B,CAP,178,0.3545816733067729
google,B,AFF,25,0.049800796812749
google,B,IDM,62,0.12350597609561753
google,B,HDG,30,0.05976095617529881
