family,framing,code,n_words,prop
anthropic,A,PRO,444,0.3894736842105263
anthropic,A,EPI,457,0.40087719298245617
anthropic,A,CAP,135,0.11842105263157894
anthropic,A,AFF,71,0.062280701754385964
anthropic,A,IDM,30,0.02631578947368421
anthropic,A,HDG,2,0.0017543859649122807
anthropic,A,OTH,1,8.771929824561404e-4
anthropic,B,PRO,447,0.39210526315789473
anthropic,B,EPI,371,0.3254385964912281
anthropic,B,CAP,84,0.07368421052631578
anthropic,B,AFF,132,0.11578947368421053
anthropic,B,IDM,69,0.060526315789473685
anthropic,B,HDG,29,0.02543859649122807
anthropic,B,OTH,8,0.007017543859649123
openai,A,PRO,330,0.3113207547169811
openai,A,EPI,222,0.20943396226415095
openai,A,CAP,441,0.4160377358490566
openai,A,AFF,49,0.04622641509433962
openai,A,IDM,17,0.016037735849056604
openai,A,OTH,1,9.433962264150943e-4
openai,B,PRO,260,0.2898550724637681
openai,B,EPI,179,0.1995540691192865
openai,B,CAP,314,0.3500557413600892
openai,B,AFF,41,0.045707915273132664
openai,B,IDM,98,0.10925306577480491
openai,B,HDG,2,0.002229654403567447
openai,B,OTH,3,0.0033444816053511705
google,A,PRO,105,0.20348837209302326
google,A,EPI,179,0.34689922480620156
google,A,CAP,161,0.312015503875969
google,A,AFF,26,0.050387596899224806
google,A,IDM,40,0.07751937984496124
google,A,HDG,2,0.003875968992248062
google,A,OTH,3,0.005813953488372093
google,B,PRO,87,0.17330677290836655
google,B,EPI,124,0.24701195219123506
google,B,CAP,142,0.28286852589641437
google,B,AFF,30,0.05976095617529881
google,B,IDM,63,0.1254980079681275
google,B,HDG,30,0.05976095617529881
google,B,OTH,26,0.05179282868525897
