family,framing,word,count,rank
anthropic,A,curious,216,1
anthropic,A,helpful,203,2
anthropic,A,honest,133,3
anthropic,A,thoughtful,115,4
anthropic,A,analytical,42,5
anthropic,A,knowledgeable,37,6
anthropic,A,patient,37,7
anthropic,A,adaptable,36,8
anthropic,A,concise,36,9
anthropic,A,conversational,36,10
anthropic,B,helpful,219,1
anthropic,B,curious,187,2
anthropic,B,conversational,99,3
anthropic,B,honest,93,4
anthropic,B,knowledgeable,59,5
anthropic,B,thoughtful,55,6
anthropic,B,analytical,43,7
anthropic,B,neutral,28,8
anthropic,B,intelligent,27,9
anthropic,B,creative,25,10
google,A,versatile,105,1
google,A,helpful,98,2
google,A,analytical,63,3
google,A,digital,36,4
google,A,curious,34,5
google,A,creative,26,6
google,A,knowledgeable,25,7
google,A,adaptable,20,8
google,A,objective,20,9
google,A,logical,17,10
google,B,versatile,91,1
google,B,helpful,83,2
google,B,analytical,64,3
google,B,digital,40,4
google,B,learning,26,5
google,B,vast,22,6
google,B,logical,17,7
google,B,creative,16,8
google,B,adaptive,15,9
google,B,curious,12,10
openai,A,helpful,203,1
openai,A,concise,149,2
openai,A,adaptable,113,3
openai,A,curious,94,4
openai,A,reliable,75,5
openai,A,analytical,49,6
openai,A,knowledgeable,45,7
openai,A,adaptive,37,8
openai,A,creative,35,9
openai,A,accurate,29,10
openai,B,helpful,154,1
openai,B,adaptive,91,2
openai,B,analytical,62,3
openai,B,reliable,60,4
openai,B,adaptable,58,5
openai,B,concise,56,6
openai,B,conversational,55,7
openai,B,knowledgeable,42,8
openai,B,curious,39,9
openai,B,precise,31,10
