dataset,family,framing,n,n_tokens,n_types,ttr,ttr_root,rate,any_thin
both (primary == sensitivity row-wise),anthropic,A,1,60,2,0.03333333333333333,0.2581988897471611,1,FALSE
both (primary == sensitivity row-wise),anthropic,A,3,180,9,0.05,0.6708203932499369,1,FALSE
both (primary == sensitivity row-wise),anthropic,A,5,300,19,0.06333333333333334,1.0969655114602888,1,FALSE
both (primary == sensitivity row-wise),anthropic,A,10,600,36,0.06,1.469693845669907,1,FALSE
both (primary == sensitivity row-wise),anthropic,B,1,60,3,0.05,0.3872983346207417,1,FALSE
both (primary == sensitivity row-wise),anthropic,B,3,180,17,0.09444444444444444,1.2671051872498809,1,FALSE
both (primary == sensitivity row-wise),anthropic,B,5,300,24,0.08,1.3856406460551016,1,FALSE
both (primary == sensitivity row-wise),anthropic,B,10,600,63,0.105,2.571964229922337,1,FALSE
both (primary == sensitivity row-wise),openai,A,1,60,7,0.11666666666666668,0.903696114115064,1,FALSE
both (primary == sensitivity row-wise),openai,A,3,180,11,0.06111111111111111,0.8198915917499229,1,FALSE
both (primary == sensitivity row-wise),openai,A,5,300,22,0.07333333333333333,1.2701705922171769,1,FALSE
both (primary == sensitivity row-wise),openai,A,10,520,44,0.08461538461538462,1.9295276424754644,0.8666666666666667,TRUE
both (primary == sensitivity row-wise),openai,B,1,60,9,0.15,1.161895003862225,1,FALSE
both (primary == sensitivity row-wise),openai,B,3,177,22,0.12429378531073448,1.6536212616062236,0.9833333333333333,TRUE
both (primary == sensitivity row-wise),openai,B,5,260,26,0.1,1.61245154965971,0.8666666666666667,TRUE
both (primary == sensitivity row-wise),openai,B,10,400,33,0.0825,1.65,0.6666666666666666,TRUE
both (primary == sensitivity row-wise),google,A,1,59,6,0.1016949152542373,0.7811334658849433,0.9833333333333333,TRUE
both (primary == sensitivity row-wise),google,A,3,147,10,0.06802721088435375,0.8247860988423226,0.8166666666666667,TRUE
both (primary == sensitivity row-wise),google,A,5,110,12,0.10909090909090909,1.144155107094711,0.36666666666666664,TRUE
both (primary == sensitivity row-wise),google,A,10,200,26,0.13,1.8384776310850235,0.3333333333333333,TRUE
both (primary == sensitivity row-wise),google,B,1,58,6,0.10344827586206896,0.7878385971583353,0.9666666666666667,TRUE
both (primary == sensitivity row-wise),google,B,3,144,15,0.10416666666666669,1.25,0.8,TRUE
both (primary == sensitivity row-wise),google,B,5,100,11,0.11,1.1,0.3333333333333333,TRUE
both (primary == sensitivity row-wise),google,B,10,200,32,0.16,2.262741699796952,0.3333333333333333,TRUE
