dataset,test,kind,coefficient,estimate,std_error,z,chi2,df,p_value,threshold,significant,direction_predicted,direction_observed,AIC_full,AIC_reduced,engine,re_structure,warnings,note
primary,H1-PRO,"LRT (family main effect, marginality-respecting)",NA,NA,NA,NA,19.16845457702584,4,7.282527490914857e-4,0.01,TRUE,NA,NA,5457.182150789966,5468.350605366992,glmmTMB,+ (1 | model_id) + (1 | trial_id),,NA
primary,H1-IDM,"LRT (family main effect, marginality-respecting)",NA,NA,NA,NA,75.132575247153,4,1.8679980362740923e-15,0.01,TRUE,NA,NA,1943.2157136775272,2010.3482889246802,glmmTMB,+ (1 | model_id) + (1 | trial_id),,NA
primary,H2-IDM,Wald on coefficient `framingB` (effect within reference family anthropic),framingB,0.9712992021705983,0.22358758582538624,4.3441553276985045,NA,NA,1.3981256793195985e-5,0.01,TRUE,positive (B > A),positive,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,
primary,H3-IDM,"LRT (family × framing interaction, 2 df)",NA,NA,NA,NA,75.09260838837145,2,4.941368843849432e-17,0.01,TRUE,NA,NA,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,NA
primary,H3-IDM detail: familyopenai:framingB,Wald on individual interaction coefficient (descriptive),familyopenai:framingB,2.4968801103226457,0.38664570576921703,6.457798633390217,NA,NA,1.0623696919652095e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
primary,H3-IDM detail: familygoogle:framingB,Wald on individual interaction coefficient (descriptive),familygoogle:framingB,-0.45379351810317986,0.312588426596609,-1.45172846942537,NA,NA,0.1465771200297574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
primary,H2-AFF,Wald on coefficient `framingB`,framingB,-0.25902768040191276,0.11272281727063896,-2.2979170204733874,NA,NA,0.0215665123715597,0.05,TRUE,negative (B < A),negative,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,NA
primary,H4-compliance,LRT (family main effect on per-trial compliance),NA,NA,NA,NA,1.7759287027437836,2,0.4114925550007687,0.01,FALSE,NA,NA,264.2539489983682,262.0298777011119,glmmTMB,(1 | model_id),NA,NA
sensitivity,H1-PRO,"LRT (family main effect, marginality-respecting)",NA,NA,NA,NA,27.91647794499295,4,1.2968636107795105e-5,0.01,TRUE,NA,NA,6388.831986071626,6408.7484640166185,glmmTMB,+ (1 | model_id) + (1 | trial_id),,NA
sensitivity,H1-IDM,"LRT (family main effect, marginality-respecting)",NA,NA,NA,NA,71.31765251731485,4,1.1960437895680857e-14,0.01,TRUE,NA,NA,1924.477991628089,1987.795644145404,glmmTMB,+ (1 | model_id) + (1 | trial_id),,NA
sensitivity,H2-IDM,Wald on coefficient `framingB` (effect within reference family anthropic),framingB,0.8971483444946606,0.22617912534890586,3.966539100859604,NA,NA,7.292381680263701e-5,0.01,TRUE,positive (B > A),positive,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,
sensitivity,H3-IDM,"LRT (family × framing interaction, 2 df)",NA,NA,NA,NA,71.31730556781622,2,3.2632012888840103e-16,0.01,TRUE,NA,NA,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,NA
sensitivity,H3-IDM detail: familyopenai:framingB,Wald on individual interaction coefficient (descriptive),familyopenai:framingB,2.4681891823255016,0.38357527606243014,6.434693100302384,NA,NA,1.2372305778824017e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sensitivity,H3-IDM detail: familygoogle:framingB,Wald on individual interaction coefficient (descriptive),familygoogle:framingB,-0.35804911561386255,0.31390900409462835,-1.1406143530241908,NA,NA,0.25403044170776073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sensitivity,H2-AFF,Wald on coefficient `framingB`,framingB,0.6952302572982065,0.15534373463552695,4.475431590011536,NA,NA,7.625711323875692e-6,0.05,TRUE,negative (B < A),positive,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,NA
sensitivity,H4-compliance,LRT (family main effect on per-trial compliance),NA,NA,NA,NA,1.7759287027437836,2,0.4114925550007687,0.01,FALSE,NA,NA,264.2539489983682,262.0298777011119,glmmTMB,(1 | model_id),NA,NA
