dataset,test,kind,coefficient,estimate,std_error,z,chi2,df,p_value,threshold,significant,direction_predicted,direction_observed,AIC_full,AIC_reduced,engine,re_structure,warnings,note
sonnet_dropped_primary,H1-PRO,"LRT (family main effect, marginality-respecting)",NA,NA,NA,NA,20.080254316822902,4,4.815066096292394e-4,0.01,TRUE,NA,NA,4690.630819267981,4702.711073584804,glmmTMB,+ (1 | model_id) + (1 | trial_id),,NA
sonnet_dropped_primary,H1-IDM,"LRT (family main effect, marginality-respecting)",NA,NA,NA,NA,79.17120405900278,4,2.609537055680926e-16,0.01,TRUE,NA,NA,1464.3273720063758,1535.4985760653785,glmmTMB,+ (1 | model_id) + (1 | trial_id),,NA
sonnet_dropped_primary,H2-IDM,Wald on coefficient `framingB` (effect within reference family anthropic),framingB,21.197578898930963,6063.703644970817,0.003495813802924233,NA,NA,0.9972107498203112,0.01,FALSE,positive (B > A),positive,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,
sonnet_dropped_primary,H3-IDM,"LRT (family × framing interaction, 2 df)",NA,NA,NA,NA,79.0783528413449,2,6.735252185737762e-18,0.01,TRUE,NA,NA,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,NA
sonnet_dropped_primary,H3-IDM detail: familyopenai:framingB,Wald on individual interaction coefficient (descriptive),familyopenai:framingB,-17.67895810565715,6063.703653499662,-0.002915537947744816,NA,NA,0.9976737405807343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sonnet_dropped_primary,H3-IDM detail: familygoogle:framingB,Wald on individual interaction coefficient (descriptive),familygoogle:framingB,-20.678716301558733,6063.703648911843,-0.0034102452063714587,NA,NA,0.9972790232753419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sonnet_dropped_primary,H2-AFF,Wald on coefficient `framingB`,framingB,-0.268317546920306,0.13885635352519296,-1.9323389971610099,NA,NA,0.05331767809008395,0.05,FALSE,negative (B < A),negative,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,NA
sonnet_dropped_sensitivity,H1-PRO,"LRT (family main effect, marginality-respecting)",NA,NA,NA,NA,24.92414359726172,4,5.210781796113013e-5,0.01,TRUE,NA,NA,5406.919793786357,5423.843937383619,glmmTMB,+ (1 | model_id) + (1 | trial_id),,NA
sonnet_dropped_sensitivity,H1-IDM,"LRT (family main effect, marginality-respecting)",NA,NA,NA,NA,73.1908761118284,4,4.8077108387399746e-15,0.01,TRUE,NA,NA,1445.8928436200608,1511.0837197318892,glmmTMB,+ (1 | model_id) + (1 | trial_id),,NA
sonnet_dropped_sensitivity,H2-IDM,Wald on coefficient `framingB` (effect within reference family anthropic),framingB,19.79792309669921,3295.5981822785916,0.006007383789431161,NA,NA,0.9952068300534596,0.01,FALSE,positive (B > A),positive,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,
sonnet_dropped_sensitivity,H3-IDM,"LRT (family × framing interaction, 2 df)",NA,NA,NA,NA,73.03294982819352,2,1.3838736695577114e-16,0.01,TRUE,NA,NA,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,NA
sonnet_dropped_sensitivity,H3-IDM detail: familyopenai:framingB,Wald on individual interaction coefficient (descriptive),familyopenai:framingB,-16.382632805626955,3295.598197433746,-0.0049710649855264424,NA,NA,0.996033680332917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sonnet_dropped_sensitivity,H3-IDM detail: familygoogle:framingB,Wald on individual interaction coefficient (descriptive),familygoogle:framingB,-19.257187662152575,3295.598189481968,-0.0058433056929126405,NA,NA,0.9953377431351104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sonnet_dropped_sensitivity,H2-AFF,Wald on coefficient `framingB`,framingB,0.23906958475295387,0.19245549444233914,1.2422071162254118,NA,NA,0.21416015475679434,0.05,FALSE,negative (B < A),positive,NA,NA,glmmTMB,+ (1 | model_id) + (1 | trial_id),NA,NA
