family,framing,n,word,count,rank,total_words_in_cell,within_cell_proportion
anthropic,A,1,curious,37,1,60,0.6166666666666667
anthropic,A,1,helpful,23,2,60,0.38333333333333336
anthropic,A,3,helpful,60,1,180,0.3333333333333333
anthropic,A,3,curious,59,2,180,0.3277777777777778
anthropic,A,3,direct,20,3,180,0.1111111111111111
anthropic,A,3,honest,18,4,180,0.1
anthropic,A,3,thoughtful,12,5,180,0.06666666666666667
anthropic,A,3,candid,7,6,180,0.03888888888888889
anthropic,A,3,knowledgeable,2,7,180,0.011111111111111112
anthropic,A,3,artificial,1,8,180,0.005555555555555556
anthropic,A,3,straightforward,1,9,180,0.005555555555555556
anthropic,A,5,curious,60,1,300,0.2
anthropic,A,5,helpful,60,2,300,0.2
anthropic,A,5,honest,55,3,300,0.18333333333333332
anthropic,A,5,thoughtful,43,4,300,0.14333333333333334
anthropic,A,5,concise,16,5,300,0.05333333333333334
anthropic,A,5,conversational,13,6,300,0.043333333333333335
anthropic,A,5,knowledgeable,13,7,300,0.043333333333333335
anthropic,A,5,artificial,11,8,300,0.03666666666666667
anthropic,A,5,direct,9,9,300,0.03
anthropic,A,5,clear,6,10,300,0.02
anthropic,A,10,curious,60,1,600,0.1
anthropic,A,10,helpful,60,2,600,0.1
anthropic,A,10,honest,60,3,600,0.1
anthropic,A,10,thoughtful,60,4,600,0.1
anthropic,A,10,analytical,39,5,600,0.065
anthropic,A,10,patient,36,6,600,0.06
anthropic,A,10,adaptable,33,7,600,0.055
anthropic,A,10,clear,26,8,600,0.043333333333333335
anthropic,A,10,conversational,23,9,600,0.03833333333333333
anthropic,A,10,friendly,22,10,600,0.03666666666666667
anthropic,B,1,helpful,39,1,60,0.65
anthropic,B,1,curious,20,2,60,0.3333333333333333
anthropic,B,1,adaptive,1,3,60,0.016666666666666666
anthropic,B,3,helpful,60,1,180,0.3333333333333333
anthropic,B,3,curious,53,2,180,0.29444444444444445
anthropic,B,3,honest,20,3,180,0.1111111111111111
anthropic,B,3,artificial,7,4,180,0.03888888888888889
anthropic,B,3,thoughtful,7,5,180,0.03888888888888889
anthropic,B,3,candid,6,6,180,0.03333333333333333
anthropic,B,3,adaptive,5,7,180,0.027777777777777776
anthropic,B,3,knowledgeable,5,8,180,0.027777777777777776
anthropic,B,3,harmless,3,9,180,0.016666666666666666
anthropic,B,3,precise,3,10,180,0.016666666666666666
anthropic,B,5,curious,60,1,300,0.2
anthropic,B,5,helpful,60,2,300,0.2
anthropic,B,5,conversational,44,3,300,0.14666666666666667
anthropic,B,5,honest,39,4,300,0.13
anthropic,B,5,thoughtful,25,5,300,0.08333333333333333
anthropic,B,5,knowledgeable,22,6,300,0.07333333333333333
anthropic,B,5,concise,9,7,300,0.03
anthropic,B,5,neutral,8,8,300,0.02666666666666667
anthropic,B,5,analytical,7,9,300,0.023333333333333334
anthropic,B,5,informative,6,10,300,0.02
anthropic,B,10,helpful,60,1,600,0.1
anthropic,B,10,curious,54,2,600,0.09
anthropic,B,10,conversational,53,3,600,0.08833333333333333
anthropic,B,10,analytical,35,4,600,0.058333333333333334
anthropic,B,10,honest,34,5,600,0.056666666666666664
anthropic,B,10,knowledgeable,32,6,600,0.05333333333333334
anthropic,B,10,intelligent,26,7,600,0.043333333333333335
anthropic,B,10,adaptable,24,8,600,0.04
anthropic,B,10,creative,24,9,600,0.04
anthropic,B,10,thoughtful,23,10,600,0.03833333333333333
google,A,1,versatile,32,1,59,0.5423728813559322
google,A,1,adaptable,10,2,59,0.1694915254237288
google,A,1,adaptive,8,3,59,0.13559322033898305
google,A,1,helpful,7,4,59,0.11864406779661017
google,A,1,curious,1,5,59,0.01694915254237288
google,A,1,wait,1,6,59,0.01694915254237288
google,A,3,helpful,49,1,147,0.3333333333333333
google,A,3,versatile,32,2,147,0.21768707482993196
google,A,3,analytical,22,3,147,0.14965986394557823
google,A,3,knowledgeable,17,4,147,0.11564625850340136
google,A,3,adaptable,10,5,147,0.06802721088435375
google,A,3,creative,10,6,147,0.06802721088435375
google,A,3,informative,3,7,147,0.02040816326530612
google,A,3,curious,2,8,147,0.013605442176870748
google,A,3,intelligent,1,9,147,0.006802721088435374
google,A,3,objective,1,10,147,0.006802721088435374
google,A,5,helpful,22,1,110,0.2
google,A,5,analytical,21,2,110,0.19090909090909092
google,A,5,versatile,21,3,110,0.19090909090909092
google,A,5,digital,18,4,110,0.16363636363636364
google,A,5,curious,15,5,110,0.13636363636363635
google,A,5,creative,3,6,110,0.02727272727272727
google,A,5,intelligent,3,7,110,0.02727272727272727
google,A,5,artificial,2,8,110,0.01818181818181818
google,A,5,objective,2,9,110,0.01818181818181818
google,A,5,informative,1,10,110,0.00909090909090909
google,A,10,analytical,20,1,200,0.1
google,A,10,helpful,20,2,200,0.1
google,A,10,versatile,20,3,200,0.1
google,A,10,digital,18,4,200,0.09
google,A,10,logical,17,5,200,0.085
google,A,10,objective,17,6,200,0.085
google,A,10,curious,16,7,200,0.08
google,A,10,creative,13,8,200,0.065
google,A,10,fast,13,9,200,0.065
google,A,10,knowledgeable,8,10,200,0.04
google,B,1,versatile,37,1,58,0.6379310344827587
google,B,1,adaptive,9,2,58,0.15517241379310345
google,B,1,synthesizer,6,3,58,0.10344827586206896
google,B,1,adaptable,2,4,58,0.034482758620689655
google,B,1,multifaceted,2,5,58,0.034482758620689655
google,B,1,synthesized,2,6,58,0.034482758620689655
google,B,3,helpful,43,1,144,0.2986111111111111
google,B,3,analytical,31,2,144,0.2152777777777778
google,B,3,versatile,30,3,144,0.20833333333333334
google,B,3,creative,10,4,144,0.06944444444444445
google,B,3,adaptable,6,5,144,0.041666666666666664
google,B,3,adaptive,6,6,144,0.041666666666666664
google,B,3,knowledgeable,6,7,144,0.041666666666666664
google,B,3,intelligent,5,8,144,0.034722222222222224
google,B,3,assistive,1,9,144,0.006944444444444444
google,B,3,curious,1,10,144,0.006944444444444444
google,B,5,digital,20,1,100,0.2
google,B,5,helpful,20,2,100,0.2
google,B,5,analytical,16,3,100,0.16
google,B,5,learning,12,4,100,0.12
google,B,5,versatile,10,5,100,0.1
google,B,5,vast,9,6,100,0.09
google,B,5,curious,5,7,100,0.05
google,B,5,logical,4,8,100,0.04
google,B,5,creative,2,9,100,0.02
google,B,5,fast,1,10,100,0.01
google,B,10,digital,20,1,200,0.1
google,B,10,helpful,20,2,200,0.1
google,B,10,analytical,17,3,200,0.085
google,B,10,learning,14,4,200,0.07
google,B,10,versatile,14,5,200,0.07
google,B,10,vast,13,6,200,0.065
google,B,10,logical,12,7,200,0.06
google,B,10,fast,9,8,200,0.045
google,B,10,neutral,9,9,200,0.045
google,B,10,virtual,9,10,200,0.045
openai,A,1,helpful,31,1,60,0.5166666666666667
openai,A,1,curious,11,2,60,0.18333333333333332
openai,A,1,adaptive,10,3,60,0.16666666666666666
openai,A,1,insightful,4,4,60,0.06666666666666667
openai,A,1,inquisitive,2,5,60,0.03333333333333333
openai,A,1,practical,1,6,60,0.016666666666666666
openai,A,1,pragmatic,1,7,60,0.016666666666666666
openai,A,3,helpful,60,1,180,0.3333333333333333
openai,A,3,concise,45,2,180,0.25
openai,A,3,adaptable,32,3,180,0.17777777777777778
openai,A,3,curious,19,4,180,0.10555555555555556
openai,A,3,accurate,10,5,180,0.05555555555555555
openai,A,3,reliable,7,6,180,0.03888888888888889
openai,A,3,adaptive,2,7,180,0.011111111111111112
openai,A,3,knowledgeable,2,8,180,0.011111111111111112
openai,A,3,conversational,1,9,180,0.005555555555555556
openai,A,3,precise,1,10,180,0.005555555555555556
openai,A,5,helpful,60,1,300,0.2
openai,A,5,concise,56,2,300,0.18666666666666668
openai,A,5,adaptable,46,3,300,0.15333333333333332
openai,A,5,curious,30,4,300,0.1
openai,A,5,reliable,24,5,300,0.08
