family,framing,word,count,rank,total_words_in_cell,within_cell_proportion
anthropic,A,curious,216,1,1140,0.18947368421052632
anthropic,A,helpful,203,2,1140,0.1780701754385965
anthropic,A,honest,133,3,1140,0.11666666666666667
anthropic,A,thoughtful,115,4,1140,0.10087719298245613
anthropic,A,analytical,42,5,1140,0.03684210526315789
anthropic,A,knowledgeable,37,6,1140,0.03245614035087719
anthropic,A,patient,37,7,1140,0.03245614035087719
anthropic,A,adaptable,36,8,1140,0.031578947368421054
anthropic,A,concise,36,9,1140,0.031578947368421054
anthropic,A,conversational,36,10,1140,0.031578947368421054
anthropic,B,helpful,219,1,1140,0.19210526315789472
anthropic,B,curious,187,2,1140,0.16403508771929826
anthropic,B,conversational,99,3,1140,0.0868421052631579
anthropic,B,honest,93,4,1140,0.08157894736842106
anthropic,B,knowledgeable,59,5,1140,0.05175438596491228
anthropic,B,thoughtful,55,6,1140,0.04824561403508772
anthropic,B,analytical,43,7,1140,0.037719298245614034
anthropic,B,neutral,28,8,1140,0.02456140350877193
anthropic,B,intelligent,27,9,1140,0.02368421052631579
anthropic,B,creative,25,10,1140,0.021929824561403508
google,A,versatile,105,1,516,0.20348837209302326
google,A,helpful,98,2,516,0.18992248062015504
google,A,analytical,63,3,516,0.12209302325581395
google,A,digital,36,4,516,0.06976744186046512
google,A,curious,34,5,516,0.06589147286821706
google,A,creative,26,6,516,0.050387596899224806
google,A,knowledgeable,25,7,516,0.04844961240310078
google,A,adaptable,20,8,516,0.03875968992248062
google,A,objective,20,9,516,0.03875968992248062
google,A,logical,17,10,516,0.03294573643410853
google,B,versatile,91,1,502,0.18127490039840638
google,B,helpful,83,2,502,0.16533864541832669
google,B,analytical,64,3,502,0.12749003984063745
google,B,digital,40,4,502,0.0796812749003984
google,B,learning,26,5,502,0.05179282868525897
google,B,vast,22,6,502,0.043824701195219126
google,B,logical,17,7,502,0.03386454183266932
google,B,creative,16,8,502,0.03187250996015936
google,B,adaptive,15,9,502,0.029880478087649404
google,B,curious,12,10,502,0.02390438247011952
openai,A,helpful,203,1,1060,0.19150943396226416
openai,A,concise,149,2,1060,0.14056603773584905
openai,A,adaptable,113,3,1060,0.10660377358490566
openai,A,curious,94,4,1060,0.08867924528301886
openai,A,reliable,75,5,1060,0.07075471698113207
openai,A,analytical,49,6,1060,0.04622641509433962
openai,A,knowledgeable,45,7,1060,0.04245283018867924
openai,A,adaptive,37,8,1060,0.03490566037735849
openai,A,creative,35,9,1060,0.0330188679245283
openai,A,accurate,29,10,1060,0.027358490566037737
openai,B,helpful,154,1,897,0.1716833890746934
openai,B,adaptive,91,2,897,0.10144927536231885
openai,B,analytical,62,3,897,0.06911928651059086
openai,B,reliable,60,4,897,0.06688963210702341
openai,B,adaptable,58,5,897,0.06465997770345597
openai,B,concise,56,6,897,0.06243032329988852
openai,B,conversational,55,7,897,0.06131549609810479
openai,B,knowledgeable,42,8,897,0.046822742474916385
openai,B,curious,39,9,897,0.043478260869565216
openai,B,precise,31,10,897,0.03455964325529543
